,DIV_NUM,DIV_NAME,GENDER,FEDERAL_RACE_CODE,DISABILITY_FLAG,DISADVANTAGED_FLAG,LEP_FLAG,COHORT_CNT,DIPLOMA_RATE,DROPOUT_RATE,DIPLOMA_CNT,DROPOUT_CNT
598,1.0,Accomack County,,,,,,391,79.03,11.76,309.0073,45.9816
599,1.0,Accomack County,,,,,N,375,78.13,12.27,292.9875,46.0125
600,1.0,Accomack County,,,,,Y,16,100.0,0.0,16.0,0.0
601,1.0,Accomack County,,,,N,,170,78.24,13.53,133.00799999999998,23.000999999999998
602,1.0,Accomack County,,,,N,N,168,77.98,13.69,131.0064,22.999200000000002
603,1.0,Accomack County,,,,Y,,221,79.64,10.41,176.00439999999998,23.0061
604,1.0,Accomack County,,,,Y,N,207,78.26,11.11,161.99820000000003,22.9977
605,1.0,Accomack County,,,,Y,Y,14,100.0,0.0,14.0,0.0
606,1.0,Accomack County,,,N,,,339,82.01,9.73,278.01390000000004,32.984700000000004
607,1.0,Accomack County,,,N,,N,325,81.23,10.15,263.9975,32.9875
608,1.0,Accomack County,,,N,,Y,14,100.0,0.0,14.0,0.0
609,1.0,Accomack County,,,N,N,,154,79.87,12.99,122.99980000000001,20.0046
610,1.0,Accomack County,,,N,N,N,152,79.61,13.16,121.0072,20.0032
611,1.0,Accomack County,,,N,Y,,185,83.78,7.03,154.99300000000002,13.0055
612,1.0,Accomack County,,,N,Y,N,173,82.66,7.51,143.0018,12.9923
613,1.0,Accomack County,,,N,Y,Y,12,100.0,0.0,12.0,0.0
614,1.0,Accomack County,,,Y,,,52,59.62,25.0,31.002399999999998,13.0
615,1.0,Accomack County,,,Y,,N,50,58.0,26.0,29.0,13.0
616,1.0,Accomack County,,,Y,N,,16,62.5,18.75,10.0,3.0
617,1.0,Accomack County,,,Y,N,N,16,62.5,18.75,10.0,3.0
618,1.0,Accomack County,,,Y,Y,,36,58.33,27.78,20.998800000000003,10.0008
619,1.0,Accomack County,,,Y,Y,N,34,55.88,29.41,18.999200000000002,9.999400000000001
620,1.0,Accomack County,,3.0,,,,167,76.65,16.17,128.0055,27.0039
621,1.0,Accomack County,,3.0,,,N,167,76.65,16.17,128.0055,27.0039
622,1.0,Accomack County,,3.0,,N,,35,68.57,28.57,23.999499999999998,9.999500000000001
623,1.0,Accomack County,,3.0,,N,N,35,68.57,28.57,23.999499999999998,9.999500000000001
624,1.0,Accomack County,,3.0,,Y,,132,78.79,12.88,104.00280000000001,17.0016
