,DIV_NAME,SCH_NAME,GENDER,FEDERAL_RACE_CODE,DISABILITY_FLAG,DISADVANTAGED_FLAG,LEP_FLAG,COHORT_CNT,DIPLOMA_RATE,DROPOUT_RATE,DIPLOMA_CNT,DROPOUT_CNT
19560,Accomack County,Arcadia High,,,,,,140,80.0,8.57,112.0,11.998
19561,Accomack County,Arcadia High,,,,,N,132,78.79,9.09,104.00280000000001,11.9988
19562,Accomack County,Arcadia High,,,,N,,69,76.81,10.14,52.998900000000006,6.996600000000001
19563,Accomack County,Arcadia High,,,,N,N,67,76.12,10.45,51.0004,7.0015
19564,Accomack County,Arcadia High,,,,Y,,71,83.1,7.04,59.001,4.9984
19565,Accomack County,Arcadia High,,,,Y,N,65,81.54,7.69,53.001000000000005,4.9985
19566,Accomack County,Arcadia High,,,N,,,120,82.5,7.5,99.0,9.0
19567,Accomack County,Arcadia High,,,N,,N,114,81.58,7.89,93.00119999999998,8.994599999999998
19568,Accomack County,Arcadia High,,,N,N,,62,80.65,9.68,50.003,6.0016
19569,Accomack County,Arcadia High,,,N,N,N,60,80.0,10.0,48.0,6.0
19570,Accomack County,Arcadia High,,,N,Y,,58,84.48,5.17,48.998400000000004,2.9986
19571,Accomack County,Arcadia High,,,N,Y,N,54,83.33,5.56,44.9982,3.0023999999999997
19572,Accomack County,Arcadia High,,,Y,,,20,65.0,15.0,13.0,3.0
19573,Accomack County,Arcadia High,,,Y,,N,18,61.11,16.67,10.9998,3.0006000000000004
19574,Accomack County,Arcadia High,,,Y,Y,,13,76.92,15.38,9.999600000000001,1.9994
19575,Accomack County,Arcadia High,,,Y,Y,N,11,72.73,18.18,8.000300000000001,1.9997999999999998
19576,Accomack County,Arcadia High,,3.0,,,,64,81.25,10.94,52.0,7.0016
19577,Accomack County,Arcadia High,,3.0,,,N,64,81.25,10.94,52.0,7.0016
19578,Accomack County,Arcadia High,,3.0,,N,,21,80.95,14.29,16.9995,3.0008999999999997
19579,Accomack County,Arcadia High,,3.0,,N,N,21,80.95,14.29,16.9995,3.0008999999999997
19580,Accomack County,Arcadia High,,3.0,,Y,,43,81.4,9.3,35.002,3.9990000000000006
19581,Accomack County,Arcadia High,,3.0,,Y,N,43,81.4,9.3,35.002,3.9990000000000006
19582,Accomack County,Arcadia High,,3.0,N,,,59,81.36,10.17,48.002399999999994,6.000299999999999
19583,Accomack County,Arcadia High,,3.0,N,,N,59,81.36,10.17,48.002399999999994,6.000299999999999
19584,Accomack County,Arcadia High,,3.0,N,N,,21,80.95,14.29,16.9995,3.0008999999999997
19585,Accomack County,Arcadia High,,3.0,N,N,N,21,80.95,14.29,16.9995,3.0008999999999997
19586,Accomack County,Arcadia High,,3.0,N,Y,,38,81.58,7.89,31.0004,2.9981999999999998
19587,Accomack County,Arcadia High,,3.0,N,Y,N,38,81.58,7.89,31.0004,2.9981999999999998
19588,Accomack County,Arcadia High,,4.0,,,,20,75.0,5.0,15.0,1.0
19589,Accomack County,Arcadia High,,4.0,,,N,12,58.33,8.33,6.9996,0.9996
19590,Accomack County,Arcadia High,,4.0,,Y,,12,83.33,0.0,9.999600000000001,0.0
19591,Accomack County,Arcadia High,,4.0,N,,,16,75.0,0.0,12.0,0.0
19592,Accomack County,Arcadia High,,4.0,N,,N,10,60.0,0.0,6.0,0.0
19593,Accomack County,Arcadia High,,5.0,,,,56,80.36,7.14,45.001599999999996,3.9983999999999997
19594,Accomack County,Arcadia High,,5.0,,,N,56,80.36,7.14,45.001599999999996,3.9983999999999997
19595,Accomack County,Arcadia High,,5.0,,N,,40,77.5,7.5,31.0,3.0
19596,Accomack County,Arcadia High,,5.0,,N,N,40,77.5,7.5,31.0,3.0
19597,Accomack County,Arcadia High,,5.0,,Y,,16,87.5,6.25,14.0,1.0
19598,Accomack County,Arcadia High,,5.0,,Y,N,16,87.5,6.25,14.0,1.0
19599,Accomack County,Arcadia High,,5.0,N,,,45,86.67,6.67,39.0015,3.0014999999999996
19600,Accomack County,Arcadia High,,5.0,N,,N,45,86.67,6.67,39.0015,3.0014999999999996
19601,Accomack County,Arcadia High,,5.0,N,N,,34,82.35,8.82,27.998999999999995,2.9988
19602,Accomack County,Arcadia High,,5.0,N,N,N,34,82.35,8.82,27.998999999999995,2.9988
19603,Accomack County,Arcadia High,,5.0,N,Y,,11,100.0,0.0,11.0,0.0
19604,Accomack County,Arcadia High,,5.0,N,Y,N,11,100.0,0.0,11.0,0.0
19605,Accomack County,Arcadia High,,5.0,Y,,,11,54.55,9.09,6.0005,0.9998999999999999
19606,Accomack County,Arcadia High,,5.0,Y,,N,11,54.55,9.09,6.0005,0.9998999999999999
19607,Accomack County,Arcadia High,F,,,,,70,81.43,4.29,57.001000000000005,3.003
19608,Accomack County,Arcadia High,F,,,,N,65,80.0,4.62,52.0,3.003
19609,Accomack County,Arcadia High,F,,,N,,35,77.14,5.71,26.999000000000002,1.9985
19610,Accomack County,Arcadia High,F,,,N,N,33,75.76,6.06,25.000800000000005,1.9997999999999998
19611,Accomack County,Arcadia High,F,,,Y,,35,85.71,2.86,29.9985,1.001
19612,Accomack County,Arcadia High,F,,,Y,N,32,84.38,3.13,27.0016,1.0016
19613,Accomack County,Arcadia High,F,,N,,,65,83.08,4.62,54.001999999999995,3.003
19614,Accomack County,Arcadia High,F,,N,,N,61,81.97,4.92,50.0017,3.0012
19615,Accomack County,Arcadia High,F,,N,N,,33,78.79,6.06,26.000700000000002,1.9997999999999998
19616,Accomack County,Arcadia High,F,,N,N,N,31,77.42,6.45,24.0002,1.9995000000000003
19617,Accomack County,Arcadia High,F,,N,Y,,32,87.5,3.13,28.0,1.0016
19618,Accomack County,Arcadia High,F,,N,Y,N,30,86.67,3.33,26.000999999999998,0.9990000000000001
19619,Accomack County,Arcadia High,F,3.0,,,,28,85.71,7.14,23.998799999999996,1.9991999999999999
19620,Accomack County,Arcadia High,F,3.0,,,N,28,85.71,7.14,23.998799999999996,1.9991999999999999
19621,Accomack County,Arcadia High,F,3.0,,N,,10,80.0,10.0,8.0,1.0
19622,Accomack County,Arcadia High,F,3.0,,N,N,10,80.0,10.0,8.0,1.0
19623,Accomack County,Arcadia High,F,3.0,,Y,,18,88.89,5.56,16.0002,1.0008
19624,Accomack County,Arcadia High,F,3.0,,Y,N,18,88.89,5.56,16.0002,1.0008
19625,Accomack County,Arcadia High,F,3.0,N,,,28,85.71,7.14,23.998799999999996,1.9991999999999999
19626,Accomack County,Arcadia High,F,3.0,N,,N,28,85.71,7.14,23.998799999999996,1.9991999999999999
19627,Accomack County,Arcadia High,F,3.0,N,N,,10,80.0,10.0,8.0,1.0
19628,Accomack County,Arcadia High,F,3.0,N,N,N,10,80.0,10.0,8.0,1.0
19629,Accomack County,Arcadia High,F,3.0,N,Y,,18,88.89,5.56,16.0002,1.0008
19630,Accomack County,Arcadia High,F,3.0,N,Y,N,18,88.89,5.56,16.0002,1.0008
