,DIV_NUM,DIV_NAME,GENDER,FEDERAL_RACE_CODE,DISABILITY_FLAG,LEP_FLAG,DISADVANTAGED_FLAG,AVG_SOL_SCALE_SCORE,PASS_RATE
8228,4.0,Amelia County,F,3.0,N,N,N,419.0,60.0
8229,4.0,Amelia County,F,3.0,N,N,,418.0,58.82
8230,4.0,Amelia County,F,3.0,N,,N,419.0,60.0
8231,4.0,Amelia County,F,3.0,N,,,418.0,58.82
8232,4.0,Amelia County,M,3.0,N,N,,431.0,64.71
8233,4.0,Amelia County,M,3.0,N,,,431.0,64.71
8234,4.0,Amelia County,,3.0,N,N,N,428.0,61.11
8235,4.0,Amelia County,,3.0,N,N,Y,421.0,62.5
8236,4.0,Amelia County,,3.0,N,N,,425.0,61.76
8237,4.0,Amelia County,,3.0,N,,N,428.0,61.11
8238,4.0,Amelia County,,3.0,N,,Y,421.0,62.5
8239,4.0,Amelia County,,3.0,N,,,425.0,61.76
8240,4.0,Amelia County,F,5.0,N,N,N,479.0,94.29
8241,4.0,Amelia County,F,5.0,N,N,,467.0,85.37
8242,4.0,Amelia County,F,5.0,N,,N,479.0,94.29
8243,4.0,Amelia County,F,5.0,N,,,467.0,85.37
8244,4.0,Amelia County,M,5.0,N,N,N,446.0,73.91
8245,4.0,Amelia County,M,5.0,N,N,,448.0,76.92
8246,4.0,Amelia County,M,5.0,N,,N,446.0,73.91
8247,4.0,Amelia County,M,5.0,N,,,448.0,76.92
8248,4.0,Amelia County,,5.0,N,N,N,466.0,86.21
8249,4.0,Amelia County,,5.0,N,N,,460.0,82.09
8250,4.0,Amelia County,,5.0,N,,N,466.0,86.21
8251,4.0,Amelia County,,5.0,N,,,460.0,82.09
8252,4.0,Amelia County,F,,N,N,N,465.0,86.67
8253,4.0,Amelia County,F,,N,N,Y,409.0,50.0
8254,4.0,Amelia County,F,,N,N,,452.0,77.97
8255,4.0,Amelia County,F,,N,,N,465.0,86.67
8256,4.0,Amelia County,F,,N,,Y,409.0,50.0
8257,4.0,Amelia County,F,,N,,,452.0,77.97
8258,4.0,Amelia County,M,,N,N,N,445.0,71.88
8259,4.0,Amelia County,M,,N,N,Y,435.0,75.0
8260,4.0,Amelia County,M,,N,N,,442.0,72.73
8261,4.0,Amelia County,M,,N,,N,445.0,71.88
8262,4.0,Amelia County,M,,N,,Y,435.0,75.0
8263,4.0,Amelia County,M,,N,,,442.0,72.73
8264,4.0,Amelia County,,,N,N,N,457.0,80.52
8265,4.0,Amelia County,,,N,N,Y,421.0,61.54
8266,4.0,Amelia County,,,N,N,,448.0,75.73
