,DIV_NUM,DIV_NAME,GENDER,FEDERAL_RACE_CODE,DISABILITY_FLAG,LEP_FLAG,DISADVANTAGED_FLAG,AVG_SOL_SCALE_SCORE,PASS_RATE
1569,1.0,Accomack County,F,3.0,N,N,N,488.0,88.24
1570,1.0,Accomack County,F,3.0,N,N,Y,445.0,73.02
1571,1.0,Accomack County,F,3.0,N,N,,454.0,76.25
1572,1.0,Accomack County,F,3.0,N,,N,488.0,88.24
1573,1.0,Accomack County,F,3.0,N,,Y,445.0,73.02
1574,1.0,Accomack County,F,3.0,N,,,454.0,76.25
1575,1.0,Accomack County,M,3.0,N,N,N,483.0,91.67
1576,1.0,Accomack County,M,3.0,N,N,Y,470.0,75.76
1577,1.0,Accomack County,M,3.0,N,N,,472.0,78.21
1578,1.0,Accomack County,M,3.0,N,,N,483.0,91.67
1579,1.0,Accomack County,M,3.0,N,,Y,470.0,75.76
1580,1.0,Accomack County,M,3.0,N,,,472.0,78.21
1581,1.0,Accomack County,,3.0,N,N,N,486.0,89.66
1582,1.0,Accomack County,,3.0,N,N,Y,458.0,74.42
1583,1.0,Accomack County,,3.0,N,N,,463.0,77.22
1584,1.0,Accomack County,,3.0,N,,N,486.0,89.66
1585,1.0,Accomack County,,3.0,N,,Y,458.0,74.42
1586,1.0,Accomack County,,3.0,N,,,463.0,77.22
1587,1.0,Accomack County,F,4.0,N,N,,506.0,90.0
1588,1.0,Accomack County,F,4.0,N,Y,Y,401.0,30.0
1589,1.0,Accomack County,F,4.0,N,Y,,401.0,30.0
1590,1.0,Accomack County,F,4.0,N,,Y,448.0,57.89
1591,1.0,Accomack County,F,4.0,N,,,453.0,60.0
1592,1.0,Accomack County,M,4.0,N,Y,Y,416.0,56.25
1593,1.0,Accomack County,M,4.0,N,Y,,416.0,56.25
1594,1.0,Accomack County,M,4.0,N,,Y,416.0,56.25
1595,1.0,Accomack County,M,4.0,N,,,419.0,58.82
1596,1.0,Accomack County,,4.0,N,N,,502.0,90.91
1597,1.0,Accomack County,,4.0,N,Y,Y,410.0,46.15
1598,1.0,Accomack County,,4.0,N,Y,,410.0,46.15
1599,1.0,Accomack County,,4.0,N,,Y,433.0,57.14
1600,1.0,Accomack County,,4.0,N,,,437.0,59.46
1601,1.0,Accomack County,F,5.0,N,N,N,516.0,100.0
1602,1.0,Accomack County,F,5.0,N,N,Y,505.0,97.3
1603,1.0,Accomack County,F,5.0,N,N,,511.0,98.67
1604,1.0,Accomack County,F,5.0,N,,N,516.0,100.0
1605,1.0,Accomack County,F,5.0,N,,Y,505.0,97.3
1606,1.0,Accomack County,F,5.0,N,,,511.0,98.67
1607,1.0,Accomack County,M,5.0,N,N,N,512.0,97.01
1608,1.0,Accomack County,M,5.0,N,N,Y,497.0,90.48
1609,1.0,Accomack County,M,5.0,N,N,,508.0,95.45
1610,1.0,Accomack County,M,5.0,N,,N,512.0,97.01
1611,1.0,Accomack County,M,5.0,N,,Y,497.0,90.48
1612,1.0,Accomack County,M,5.0,N,,,508.0,95.45
1613,1.0,Accomack County,,5.0,N,N,N,513.0,98.1
1614,1.0,Accomack County,,5.0,N,N,Y,502.0,94.83
1615,1.0,Accomack County,,5.0,N,N,,509.0,96.93
1616,1.0,Accomack County,,5.0,N,,N,513.0,98.1
1617,1.0,Accomack County,,5.0,N,,Y,502.0,94.83
1618,1.0,Accomack County,,5.0,N,,,509.0,96.93
1619,1.0,Accomack County,F,,N,N,N,508.0,96.43
1620,1.0,Accomack County,F,,N,N,Y,470.0,82.57
1621,1.0,Accomack County,F,,N,N,,483.0,87.27
1622,1.0,Accomack County,F,,N,Y,Y,401.0,30.0
1623,1.0,Accomack County,F,,N,Y,,401.0,30.0
1624,1.0,Accomack County,F,,N,,N,508.0,96.43
1625,1.0,Accomack County,F,,N,,Y,464.0,78.15
1626,1.0,Accomack County,F,,N,,,478.0,84.0
1627,1.0,Accomack County,M,,N,N,N,508.0,96.34
1628,1.0,Accomack County,M,,N,N,Y,477.0,79.31
1629,1.0,Accomack County,M,,N,N,,492.0,87.57
1630,1.0,Accomack County,M,,N,Y,Y,416.0,56.25
1631,1.0,Accomack County,M,,N,Y,,416.0,56.25
1632,1.0,Accomack County,M,,N,,N,508.0,96.34
1633,1.0,Accomack County,M,,N,,Y,467.0,75.73
1634,1.0,Accomack County,M,,N,,,485.0,84.86
1635,1.0,Accomack County,,,N,N,N,508.0,96.38
1636,1.0,Accomack County,,,N,N,Y,473.0,81.12
1637,1.0,Accomack County,,,N,N,,488.0,87.43
1638,1.0,Accomack County,,,N,Y,Y,410.0,46.15
1639,1.0,Accomack County,,,N,Y,,410.0,46.15
1640,1.0,Accomack County,,,N,,N,508.0,96.38
1641,1.0,Accomack County,,,N,,Y,466.0,77.03
1642,1.0,Accomack County,,,N,,,482.0,84.44
1643,1.0,Accomack County,F,3.0,Y,N,,309.0,25.0
1644,1.0,Accomack County,F,3.0,Y,,,309.0,25.0
1645,1.0,Accomack County,M,3.0,Y,N,Y,313.0,30.0
1646,1.0,Accomack County,M,3.0,Y,N,,319.0,32.0
1647,1.0,Accomack County,M,3.0,Y,,Y,313.0,30.0
1648,1.0,Accomack County,M,3.0,Y,,,319.0,32.0
