,DIV_NUM,DIV_NAME,GENDER,FEDERAL_RACE_CODE,DISABILITY_FLAG,LEP_FLAG,DISADVANTAGED_FLAG,AVG_SOL_SCALE_SCORE,PASS_RATE
835,1.0,Accomack County,F,3.0,N,N,N,455.0,78.95
836,1.0,Accomack County,F,3.0,N,N,Y,423.0,61.97
837,1.0,Accomack County,F,3.0,N,N,,430.0,65.56
838,1.0,Accomack County,F,3.0,N,,N,455.0,78.95
839,1.0,Accomack County,F,3.0,N,,Y,423.0,61.97
840,1.0,Accomack County,F,3.0,N,,,430.0,65.56
841,1.0,Accomack County,M,3.0,N,N,N,440.0,66.67
842,1.0,Accomack County,M,3.0,N,N,Y,421.0,63.38
843,1.0,Accomack County,M,3.0,N,N,,424.0,63.95
844,1.0,Accomack County,M,3.0,N,,N,440.0,66.67
845,1.0,Accomack County,M,3.0,N,,Y,421.0,63.38
846,1.0,Accomack County,M,3.0,N,,,424.0,63.95
847,1.0,Accomack County,,3.0,N,N,N,448.0,73.53
848,1.0,Accomack County,,3.0,N,N,Y,422.0,62.68
849,1.0,Accomack County,,3.0,N,N,,427.0,64.77
850,1.0,Accomack County,,3.0,N,,N,448.0,73.53
851,1.0,Accomack County,,3.0,N,,Y,422.0,62.68
852,1.0,Accomack County,,3.0,N,,,427.0,64.77
853,1.0,Accomack County,F,4.0,N,N,,497.0,100.0
854,1.0,Accomack County,F,4.0,N,,Y,454.0,87.5
855,1.0,Accomack County,F,4.0,N,,,459.0,89.47
856,1.0,Accomack County,M,4.0,N,Y,Y,398.0,54.55
857,1.0,Accomack County,M,4.0,N,Y,,398.0,61.54
858,1.0,Accomack County,M,4.0,N,,Y,398.0,54.55
859,1.0,Accomack County,M,4.0,N,,,401.0,64.29
860,1.0,Accomack County,,4.0,N,N,,493.0,100.0
861,1.0,Accomack County,,4.0,N,Y,Y,400.0,61.11
862,1.0,Accomack County,,4.0,N,Y,,400.0,68.18
863,1.0,Accomack County,,4.0,N,,Y,431.0,74.07
864,1.0,Accomack County,,4.0,N,,,435.0,78.79
865,1.0,Accomack County,F,5.0,N,N,N,485.0,92.31
866,1.0,Accomack County,F,5.0,N,N,Y,489.0,94.44
867,1.0,Accomack County,F,5.0,N,N,,487.0,93.33
868,1.0,Accomack County,F,5.0,N,,N,485.0,92.31
869,1.0,Accomack County,F,5.0,N,,Y,489.0,94.44
870,1.0,Accomack County,F,5.0,N,,,487.0,93.33
871,1.0,Accomack County,M,5.0,N,N,N,482.0,92.86
872,1.0,Accomack County,M,5.0,N,N,Y,459.0,91.3
873,1.0,Accomack County,M,5.0,N,N,,476.0,92.47
874,1.0,Accomack County,M,5.0,N,,N,482.0,92.86
875,1.0,Accomack County,M,5.0,N,,Y,459.0,91.3
876,1.0,Accomack County,M,5.0,N,,,476.0,92.47
877,1.0,Accomack County,,5.0,N,N,N,483.0,92.66
878,1.0,Accomack County,,5.0,N,N,Y,477.0,93.22
879,1.0,Accomack County,,5.0,N,N,,481.0,92.86
880,1.0,Accomack County,,5.0,N,,N,483.0,92.66
881,1.0,Accomack County,,5.0,N,,Y,477.0,93.22
882,1.0,Accomack County,,5.0,N,,,481.0,92.86
883,1.0,Accomack County,F,,N,N,N,476.0,88.14
884,1.0,Accomack County,F,,N,N,Y,449.0,75.0
885,1.0,Accomack County,F,,N,N,,458.0,79.43
886,1.0,Accomack County,F,,N,,N,476.0,88.52
887,1.0,Accomack County,F,,N,,Y,446.0,74.8
