,DIV_NUM,DIV_NAME,GENDER,FEDERAL_RACE_CODE,DISABILITY_FLAG,LEP_FLAG,DISADVANTAGED_FLAG,AVG_SOL_SCALE_SCORE,PASS_RATE
1153,1.0,Accomack County,F,3.0,N,N,N,454.0,100.0
1154,1.0,Accomack County,F,3.0,N,N,Y,432.0,80.95
1155,1.0,Accomack County,F,3.0,N,N,,437.0,85.0
1156,1.0,Accomack County,F,3.0,N,,N,454.0,100.0
1157,1.0,Accomack County,F,3.0,N,,Y,432.0,80.95
1158,1.0,Accomack County,F,3.0,N,,,437.0,85.0
1159,1.0,Accomack County,M,3.0,N,N,N,469.0,92.31
1160,1.0,Accomack County,M,3.0,N,N,Y,454.0,90.16
1161,1.0,Accomack County,M,3.0,N,N,,457.0,90.54
1162,1.0,Accomack County,M,3.0,N,,N,469.0,92.31
1163,1.0,Accomack County,M,3.0,N,,Y,454.0,90.16
1164,1.0,Accomack County,M,3.0,N,,,457.0,90.54
1165,1.0,Accomack County,,3.0,N,N,N,461.0,96.67
1166,1.0,Accomack County,,3.0,N,N,Y,443.0,85.48
1167,1.0,Accomack County,,3.0,N,N,,446.0,87.66
1168,1.0,Accomack County,,3.0,N,,N,461.0,96.67
1169,1.0,Accomack County,,3.0,N,,Y,443.0,85.48
1170,1.0,Accomack County,,3.0,N,,,446.0,87.66
1171,1.0,Accomack County,F,4.0,N,N,,475.0,100.0
1172,1.0,Accomack County,F,4.0,N,,Y,450.0,81.25
1173,1.0,Accomack County,F,4.0,N,,,449.0,83.33
1174,1.0,Accomack County,M,4.0,N,Y,Y,433.0,72.73
1175,1.0,Accomack County,M,4.0,N,Y,,431.0,75.0
1176,1.0,Accomack County,M,4.0,N,,Y,433.0,72.73
1177,1.0,Accomack County,M,4.0,N,,,432.0,76.92
1178,1.0,Accomack County,,4.0,N,N,,472.0,100.0
1179,1.0,Accomack County,,4.0,N,Y,Y,426.0,68.42
1180,1.0,Accomack County,,4.0,N,Y,,426.0,70.0
1181,1.0,Accomack County,,4.0,N,,Y,443.0,77.78
1182,1.0,Accomack County,,4.0,N,,,442.0,80.65
1183,1.0,Accomack County,F,5.0,N,N,N,486.0,97.67
1184,1.0,Accomack County,F,5.0,N,N,Y,479.0,96.77
1185,1.0,Accomack County,F,5.0,N,N,,483.0,97.3
1186,1.0,Accomack County,F,5.0,N,,N,486.0,97.67
1187,1.0,Accomack County,F,5.0,N,,Y,479.0,96.77
1188,1.0,Accomack County,F,5.0,N,,,483.0,97.3
1189,1.0,Accomack County,M,5.0,N,N,N,505.0,98.51
1190,1.0,Accomack County,M,5.0,N,N,Y,482.0,94.74
1191,1.0,Accomack County,M,5.0,N,N,,500.0,97.67
1192,1.0,Accomack County,M,5.0,N,,N,505.0,98.51
1193,1.0,Accomack County,M,5.0,N,,Y,482.0,94.74
1194,1.0,Accomack County,M,5.0,N,,,500.0,97.67
1195,1.0,Accomack County,,5.0,N,N,N,497.0,98.18
1196,1.0,Accomack County,,5.0,N,N,Y,480.0,96.0
1197,1.0,Accomack County,,5.0,N,N,,492.0,97.5
1198,1.0,Accomack County,,5.0,N,,N,497.0,98.18
1199,1.0,Accomack County,,5.0,N,,Y,480.0,96.0
1200,1.0,Accomack County,,5.0,N,,,492.0,97.5
1201,1.0,Accomack County,F,,N,N,N,476.0,98.39
1202,1.0,Accomack County,F,,N,N,Y,450.0,87.25
1203,1.0,Accomack County,F,,N,N,,460.0,91.46
1204,1.0,Accomack County,F,,N,,N,476.0,98.39
1205,1.0,Accomack County,F,,N,,Y,448.0,85.45
1206,1.0,Accomack County,F,,N,,,458.0,90.12
1207,1.0,Accomack County,M,,N,N,N,499.0,97.59
1208,1.0,Accomack County,M,,N,N,Y,461.0,91.25
1209,1.0,Accomack County,M,,N,N,,480.0,94.48
1210,1.0,Accomack County,M,,N,Y,Y,433.0,72.73
1211,1.0,Accomack County,M,,N,Y,,431.0,75.0
1212,1.0,Accomack County,M,,N,,N,498.0,97.62
1213,1.0,Accomack County,M,,N,,Y,457.0,89.01
1214,1.0,Accomack County,M,,N,,,477.0,93.14
1215,1.0,Accomack County,,,N,N,N,489.0,97.93
1216,1.0,Accomack County,,,N,N,Y,455.0,89.01
1217,1.0,Accomack County,,,N,N,,470.0,92.97
1218,1.0,Accomack County,,,N,Y,Y,426.0,68.42
1219,1.0,Accomack County,,,N,Y,,426.0,70.0
1220,1.0,Accomack County,,,N,,N,489.0,97.95
1221,1.0,Accomack County,,,N,,Y,452.0,87.06
1222,1.0,Accomack County,,,N,,,467.0,91.64
1223,1.0,Accomack County,M,3.0,Y,N,,382.0,36.36
1224,1.0,Accomack County,M,3.0,Y,,,382.0,36.36
1225,1.0,Accomack County,,3.0,Y,N,Y,377.0,30.0
1226,1.0,Accomack County,,3.0,Y,N,,386.0,42.86
1227,1.0,Accomack County,,3.0,Y,,Y,377.0,30.0
1228,1.0,Accomack County,,3.0,Y,,,386.0,42.86
1229,1.0,Accomack County,M,5.0,Y,N,Y,426.0,81.82
1230,1.0,Accomack County,M,5.0,Y,N,,448.0,81.25
1231,1.0,Accomack County,M,5.0,Y,,Y,426.0,81.82
1232,1.0,Accomack County,M,5.0,Y,,,448.0,81.25
1233,1.0,Accomack County,,5.0,Y,N,Y,412.0,77.78
1234,1.0,Accomack County,,5.0,Y,N,,425.0,72.0
1235,1.0,Accomack County,,5.0,Y,,Y,412.0,77.78
1236,1.0,Accomack County,,5.0,Y,,,425.0,72.0
1237,1.0,Accomack County,F,,Y,N,,392.0,58.33
1238,1.0,Accomack County,F,,Y,,,392.0,61.54
1239,1.0,Accomack County,M,,Y,N,Y,400.0,57.14
1240,1.0,Accomack County,M,,Y,N,,419.0,64.29
1241,1.0,Accomack County,M,,Y,,Y,398.0,54.55
1242,1.0,Accomack County,M,,Y,,,417.0,62.07
1243,1.0,Accomack County,,,Y,N,N,438.0,63.64
