,DIV_NUM,DIV_NAME,GENDER,FEDERAL_RACE_CODE,DISABILITY_FLAG,LEP_FLAG,DISADVANTAGED_FLAG,AVG_SOL_SCALE_SCORE,PASS_RATE
142,1.0,Accomack County,F,3.0,N,N,N,421.0,83.33
143,1.0,Accomack County,F,3.0,N,N,Y,421.0,85.25
144,1.0,Accomack County,F,3.0,N,N,,421.0,84.81
145,1.0,Accomack County,F,3.0,N,,N,421.0,83.33
146,1.0,Accomack County,F,3.0,N,,Y,421.0,85.25
147,1.0,Accomack County,F,3.0,N,,,421.0,84.81
148,1.0,Accomack County,M,3.0,N,N,N,421.0,64.29
149,1.0,Accomack County,M,3.0,N,N,Y,409.0,74.6
150,1.0,Accomack County,M,3.0,N,N,,411.0,72.73
151,1.0,Accomack County,M,3.0,N,,N,421.0,64.29
152,1.0,Accomack County,M,3.0,N,,Y,409.0,74.6
153,1.0,Accomack County,M,3.0,N,,,411.0,72.73
154,1.0,Accomack County,,3.0,N,N,N,421.0,75.0
155,1.0,Accomack County,,3.0,N,N,Y,415.0,79.84
156,1.0,Accomack County,,3.0,N,N,,416.0,78.85
157,1.0,Accomack County,,3.0,N,,N,421.0,75.0
158,1.0,Accomack County,,3.0,N,,Y,415.0,79.84
159,1.0,Accomack County,,3.0,N,,,416.0,78.85
160,1.0,Accomack County,F,4.0,N,N,,436.0,100.0
161,1.0,Accomack County,F,4.0,N,,Y,427.0,100.0
162,1.0,Accomack County,F,4.0,N,,,429.0,100.0
163,1.0,Accomack County,M,4.0,N,Y,Y,412.0,81.82
164,1.0,Accomack County,M,4.0,N,Y,,412.0,81.82
165,1.0,Accomack County,M,4.0,N,,Y,412.0,81.82
166,1.0,Accomack County,M,4.0,N,,,411.0,83.33
167,1.0,Accomack County,,4.0,N,N,,434.0,100.0
168,1.0,Accomack County,,4.0,N,Y,Y,413.0,88.24
169,1.0,Accomack County,,4.0,N,Y,,413.0,88.24
170,1.0,Accomack County,,4.0,N,,Y,420.0,92.31
171,1.0,Accomack County,,4.0,N,,,421.0,92.86
172,1.0,Accomack County,F,5.0,N,N,N,448.0,97.5
173,1.0,Accomack County,F,5.0,N,N,Y,440.0,100.0
174,1.0,Accomack County,F,5.0,N,N,,444.0,98.63
175,1.0,Accomack County,F,5.0,N,,N,448.0,97.5
176,1.0,Accomack County,F,5.0,N,,Y,440.0,100.0
177,1.0,Accomack County,F,5.0,N,,,444.0,98.63
178,1.0,Accomack County,M,5.0,N,N,N,433.0,93.75
179,1.0,Accomack County,M,5.0,N,N,Y,425.0,86.36
180,1.0,Accomack County,M,5.0,N,N,,431.0,91.86
181,1.0,Accomack County,M,5.0,N,,N,433.0,93.75
182,1.0,Accomack County,M,5.0,N,,Y,425.0,86.36
183,1.0,Accomack County,M,5.0,N,,,431.0,91.86
184,1.0,Accomack County,,5.0,N,N,N,439.0,95.19
185,1.0,Accomack County,,5.0,N,N,Y,434.0,94.55
186,1.0,Accomack County,,5.0,N,N,,437.0,94.97
187,1.0,Accomack County,,5.0,N,,N,439.0,95.19
188,1.0,Accomack County,,5.0,N,,Y,434.0,94.55
189,1.0,Accomack County,,5.0,N,,,437.0,94.97
190,1.0,Accomack County,F,,N,N,N,440.0,93.22
191,1.0,Accomack County,F,,N,N,Y,428.0,91.26
192,1.0,Accomack County,F,,N,N,,432.0,91.98
193,1.0,Accomack County,F,,N,,N,440.0,93.22
194,1.0,Accomack County,F,,N,,Y,427.0,91.74
195,1.0,Accomack County,F,,N,,,432.0,92.26
196,1.0,Accomack County,M,,N,N,N,431.0,88.89
197,1.0,Accomack County,M,,N,N,Y,413.0,77.65
198,1.0,Accomack County,M,,N,N,,422.0,83.13
199,1.0,Accomack County,M,,N,Y,Y,412.0,81.82
200,1.0,Accomack County,M,,N,Y,,412.0,81.82
201,1.0,Accomack County,M,,N,,N,431.0,88.89
202,1.0,Accomack County,M,,N,,Y,413.0,78.13
203,1.0,Accomack County,M,,N,,,421.0,83.05
204,1.0,Accomack County,,,N,N,N,435.0,90.71
205,1.0,Accomack County,,,N,N,Y,421.0,85.11
206,1.0,Accomack County,,,N,N,,427.0,87.5
207,1.0,Accomack County,,,N,Y,Y,413.0,88.24
208,1.0,Accomack County,,,N,Y,,413.0,88.24
209,1.0,Accomack County,,,N,,N,435.0,90.71
210,1.0,Accomack County,,,N,,Y,421.0,85.37
211,1.0,Accomack County,,,N,,,426.0,87.54
212,1.0,Accomack County,M,,Y,N,,404.0,50.0
213,1.0,Accomack County,M,,Y,,,404.0,50.0
214,1.0,Accomack County,,,Y,N,,405.0,64.29
215,1.0,Accomack County,,,Y,,,405.0,64.29
216,1.0,Accomack County,F,3.0,,N,N,421.0,84.21
217,1.0,Accomack County,F,3.0,,N,Y,420.0,85.48
218,1.0,Accomack County,F,3.0,,N,,421.0,85.19
219,1.0,Accomack County,F,3.0,,,N,421.0,84.21
220,1.0,Accomack County,F,3.0,,,Y,420.0,85.48
221,1.0,Accomack County,F,3.0,,,,421.0,85.19
222,1.0,Accomack County,M,3.0,,N,N,418.0,60.0
223,1.0,Accomack County,M,3.0,,N,Y,407.0,71.64
224,1.0,Accomack County,M,3.0,,N,,409.0,69.51
225,1.0,Accomack County,M,3.0,,,N,418.0,60.0
226,1.0,Accomack County,M,3.0,,,Y,407.0,71.64
227,1.0,Accomack County,M,3.0,,,,409.0,69.51
228,1.0,Accomack County,,3.0,,N,N,420.0,73.53
229,1.0,Accomack County,,3.0,,N,Y,414.0,78.29
230,1.0,Accomack County,,3.0,,N,,415.0,77.3
231,1.0,Accomack County,,3.0,,,N,420.0,73.53
232,1.0,Accomack County,,3.0,,,Y,414.0,78.29
233,1.0,Accomack County,,3.0,,,,415.0,77.3
234,1.0,Accomack County,F,4.0,,N,,436.0,100.0
235,1.0,Accomack County,F,4.0,,,Y,427.0,100.0
236,1.0,Accomack County,F,4.0,,,,429.0,100.0
237,1.0,Accomack County,M,4.0,,Y,Y,412.0,81.82
238,1.0,Accomack County,M,4.0,,Y,,412.0,81.82
239,1.0,Accomack County,M,4.0,,,Y,412.0,81.82
240,1.0,Accomack County,M,4.0,,,,411.0,83.33
241,1.0,Accomack County,,4.0,,N,,434.0,100.0
242,1.0,Accomack County,,4.0,,Y,Y,413.0,88.24
243,1.0,Accomack County,,4.0,,Y,,413.0,88.24
244,1.0,Accomack County,,4.0,,,Y,420.0,92.31
245,1.0,Accomack County,,4.0,,,,421.0,92.86
246,1.0,Accomack County,F,5.0,,N,N,447.0,97.56
247,1.0,Accomack County,F,5.0,,N,Y,438.0,100.0
248,1.0,Accomack County,F,5.0,,N,,443.0,98.67
249,1.0,Accomack County,F,5.0,,,N,447.0,97.56
250,1.0,Accomack County,F,5.0,,,Y,438.0,100.0
251,1.0,Accomack County,F,5.0,,,,443.0,98.67
252,1.0,Accomack County,M,5.0,,N,N,433.0,92.54
253,1.0,Accomack County,M,5.0,,N,Y,424.0,87.5
254,1.0,Accomack County,M,5.0,,N,,430.0,91.21
255,1.0,Accomack County,M,5.0,,,N,433.0,92.54
256,1.0,Accomack County,M,5.0,,,Y,424.0,87.5
257,1.0,Accomack County,M,5.0,,,,430.0,91.21
258,1.0,Accomack County,,5.0,,N,N,438.0,94.44
259,1.0,Accomack County,,5.0,,N,Y,432.0,94.83
260,1.0,Accomack County,,5.0,,N,,436.0,94.58
261,1.0,Accomack County,,5.0,,,N,438.0,94.44
262,1.0,Accomack County,,5.0,,,Y,432.0,94.83
263,1.0,Accomack County,,5.0,,,,436.0,94.58
264,1.0,Accomack County,F,,,N,N,439.0,93.44
265,1.0,Accomack County,F,,,N,Y,427.0,91.43
266,1.0,Accomack County,F,,,N,,432.0,92.17
267,1.0,Accomack County,F,,,,N,439.0,93.44
268,1.0,Accomack County,F,,,,Y,427.0,91.89
269,1.0,Accomack County,F,,,,,431.0,92.44
270,1.0,Accomack County,M,,,N,N,430.0,87.06
271,1.0,Accomack County,M,,,N,Y,412.0,75.82
272,1.0,Accomack County,M,,,N,,421.0,81.25
273,1.0,Accomack County,M,,,Y,Y,412.0,81.82
274,1.0,Accomack County,M,,,Y,,412.0,81.82
275,1.0,Accomack County,M,,,,N,430.0,87.06
276,1.0,Accomack County,M,,,,Y,412.0,76.47
277,1.0,Accomack County,M,,,,,420.0,81.28
278,1.0,Accomack County,,,,N,N,434.0,89.73
279,1.0,Accomack County,,,,N,Y,420.0,84.18
280,1.0,Accomack County,,,,N,,426.0,86.55
281,1.0,Accomack County,,,,Y,Y,413.0,88.24
282,1.0,Accomack County,,,,Y,,413.0,88.24
283,1.0,Accomack County,,,,,N,434.0,89.73
284,1.0,Accomack County,,,,,Y,420.0,84.51
285,1.0,Accomack County,,,,,,425.0,86.63
1034,2.0,Albemarle County,F,2.0,N,N,N,507.0,100.0
1035,2.0,Albemarle County,F,2.0,N,N,,505.0,100.0
1036,2.0,Albemarle County,F,2.0,N,,N,498.0,100.0
1037,2.0,Albemarle County,F,2.0,N,,,489.0,100.0
1038,2.0,Albemarle County,M,2.0,N,N,N,465.0,100.0
1039,2.0,Albemarle County,M,2.0,N,N,,465.0,100.0
1040,2.0,Albemarle County,M,2.0,N,Y,,424.0,91.67
1041,2.0,Albemarle County,M,2.0,N,,N,450.0,100.0
1042,2.0,Albemarle County,M,2.0,N,,,446.0,96.15
1043,2.0,Albemarle County,,2.0,N,N,N,486.0,100.0
1044,2.0,Albemarle County,,2.0,N,N,,484.0,100.0
1045,2.0,Albemarle County,,2.0,N,Y,N,437.0,100.0
1046,2.0,Albemarle County,,2.0,N,Y,,432.0,94.12
1047,2.0,Albemarle County,,2.0,N,,N,470.0,100.0
1048,2.0,Albemarle County,,2.0,N,,,464.0,97.73
1049,2.0,Albemarle County,F,3.0,N,N,N,442.0,96.77
1050,2.0,Albemarle County,F,3.0,N,N,Y,409.0,65.38
1051,2.0,Albemarle County,F,3.0,N,N,,427.0,82.46
1052,2.0,Albemarle County,F,3.0,N,,N,442.0,96.88
1053,2.0,Albemarle County,F,3.0,N,,Y,409.0,65.38
1054,2.0,Albemarle County,F,3.0,N,,,427.0,82.76
1055,2.0,Albemarle County,M,3.0,N,N,N,412.0,72.41
1056,2.0,Albemarle County,M,3.0,N,N,Y,413.0,55.56
1057,2.0,Albemarle County,M,3.0,N,N,,412.0,64.29
1058,2.0,Albemarle County,M,3.0,N,,N,412.0,72.41
1059,2.0,Albemarle County,M,3.0,N,,Y,413.0,55.56
1060,2.0,Albemarle County,M,3.0,N,,,412.0,64.29
1061,2.0,Albemarle County,,3.0,N,N,N,428.0,85.0
1062,2.0,Albemarle County,,3.0,N,N,Y,411.0,60.38
1063,2.0,Albemarle County,,3.0,N,N,,420.0,73.45
1064,2.0,Albemarle County,,3.0,N,,N,428.0,85.25
1065,2.0,Albemarle County,,3.0,N,,Y,411.0,60.38
1066,2.0,Albemarle County,,3.0,N,,,420.0,73.68
1067,2.0,Albemarle County,M,4.0,N,Y,Y,399.0,40.0
1068,2.0,Albemarle County,M,4.0,N,Y,,398.0,33.33
1069,2.0,Albemarle County,M,4.0,N,,Y,402.0,53.85
1070,2.0,Albemarle County,M,4.0,N,,,408.0,55.0
1071,2.0,Albemarle County,,4.0,N,N,N,447.0,90.0
1072,2.0,Albemarle County,,4.0,N,N,,439.0,92.86
